Sample_ID,I_Ca_umol_per_mol,Mg_Ca_mmol_per_mol,delta13C,delta18O,Age_Ma,Reference,DOI
NJY-132,0.25,0.96,1.1,-6.16,544.87,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-134,0.2,0.93,1.29,-5.93,544.76,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-136,0.06,1,1.52,-4.36,544.66,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-138,0.46,0.86,0.18,-4.3,544.54,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-149,0.22,0.87,-0.07,-4.09,543.95,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-151,0.07,0.98,-1.06,-5.68,543.88,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-153,0.09,0.93,1.5,-4.54,543.79,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-157,0.09,0.94,1.31,-4.89,543.61,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-159,0.07,0.97,0.75,-5.54,543.5,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-161,0.05,0.92,1.35,-5.65,543.38,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-164,0.07,0.93,0.55,-5.23,543.23,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-166,0.05,0.91,0.58,-4.72,543.12,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-168,0.11,1.05,0.77,-5.55,543.01,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-170,0.27,1.01,1.91,-3.47,542.9,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-173,0.18,0.87,2.66,-2.63,542.79,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-175,0.14,0.94,1.58,-3.51,542.69,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-177,0.06,1.01,1.79,-5,542.63,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-179,0.35,0.94,1.74,-3.12,542.52,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-180,0.49,0.92,1.31,-3.14,542.46,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-182,0.25,0.99,0.58,-3.37,542.35,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-184,0.11,0.96,-0.34,-5.37,542.24,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-186,0.08,0.95,0.77,-5.06,542.14,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-188,0.8,1.03,0.39,-4.7,542.03,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-190,0.22,0.91,0.09,-5.05,541.92,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-192,0.19,1.06,0.39,-6.67,541.87,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-194,0.23,0.92,0.19,-5.18,541.76,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-196,0.16,0.93,0.41,-4.38,541.63,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-198,0.15,0.93,0.13,-5.63,541.53,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-200,0.61,0.9,0.27,-5.36,541.43,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-201,0.51,1.06,-1.35,-3.4,541.29,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
NJY-206,0.66,0.97,-1.35,-5.57,541.21,"Ding et al., 2022",https://doi.org/10.1111/gbi.12520
23-YZ3-1,0.04,0.87,0.77,-1.41,1520,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-YZ3-2,0.1,0.89,0.23,-0.56,1520.124417,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-YZ3-3,0.29,0.89,0.28,-0.36,1520.248834,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-YZ3-4,0.19,0.85,0.32,-0.51,1520.37325,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-YZ3-5,0.48,0.86,0.3,-0.09,1520.497667,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-YZ3-6,0.38,0.85,0.2,0.06,1520.622084,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-YZ3-7,1,0.84,0.07,0.34,1520.870918,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-YZ3-8,0.06,0.84,-0.11,-1.06,1520.995334,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-YZ3-9,0.72,0.86,0.16,-0.24,1521.119751,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-YZ3-10,0.61,0.86,0.27,-0.09,1521.244168,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-YZ3-11,0.17,0.87,-0.25,-0.53,1521.368585,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-YZ3-12,0.01,0.25,0.42,-5.65,1521.617418,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-YZ3-13,0,0.02,0.19,-3.78,1521.741835,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-YZ3-14,0.01,0.82,0.28,-4.79,1521.866252,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-YZ3-15,0.04,0.79,-0.08,-2.43,1521.990669,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-YZ3-16,0.2,0.86,-0.85,-0.47,1522.115086,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
22-YZ3-17,0.18,0.92,-1.2,-1.85,1522.301711,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
22-YZ3-18,0.18,0.92,-1.05,-2.06,1522.799378,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
22-YZ3-19,0.11,0.91,-0.99,-1.6,1523.048212,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
22-YZ3-20,0.1,0.91,-1.4,-1.01,1523.545879,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
22-YZ3-21,0.12,0.91,-0.86,-0.87,1524.043546,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-1,0.46,0.86,-1.54,-3.68,1524.572317,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-2,0.41,0.85,-1.35,-1.16,1525.069984,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-3,0.21,0.91,-1.31,-2.72,1525.909798,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-4,0.16,0.89,-0.96,-1.18,1526.562986,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-5,0.39,0.81,-0.89,-1.38,1526.81182,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-6,0.03,0.85,-0.78,-1.39,1527.433904,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-7,0.02,0.9,-0.5,-2.75,1527.931571,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-8,0.34,0.85,-0.5,-5.36,1528.180404,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-9,0,0.89,-0.86,-0.52,1528.553655,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-10,0.19,0.91,-0.94,-1.97,1529.051322,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-11,0.07,0.9,-1.33,-2.5,1529.362364,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-12,0.34,0.89,-0.61,-2.35,1530.015552,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-13,0.38,0.89,-0.75,-2.92,1530.513219,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-14,0.4,0.9,-0.85,-1.96,1531.63297,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-15,0.28,0.91,-1.29,-2.32,1532.192846,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-16,0.55,0.91,-1.22,-2.51,1532.690513,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-17,0.98,0.86,-1.02,-1.57,1533.40591,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-18,0.18,0.89,-1.21,-1.2,1534.152411,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-19,0.65,0.9,-1.15,-1.73,1534.774495,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-20,0.48,0.88,-1.3,-1.96,1535.427683,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-21,0.28,0.92,-1.02,-1.14,1536.267496,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-22,0.23,0.91,-0.94,-1.24,1536.640747,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-23,0.17,0.9,-1.06,-1.43,1536.88958,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-24,0.1,0.9,-1.27,-1.17,1537.636081,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-25,0.26,0.89,-1.3,-1.04,1538.133748,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-26,0.23,0.9,-1,-0.06,1538.631415,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ2-27,0.18,0.87,-0.89,-4.18,1539.253499,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-1,0.55,0.87,-0.67,-0.66,1539.751166,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-2,0.83,0.87,-0.56,-0.66,1540.248834,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-3,1.22,0.87,-0.39,-0.34,1540.746501,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-4,0.41,0.86,-0.52,-0.85,1541.244168,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-5,0.18,0.88,-0.85,-2.97,1541.617418,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-6,0.25,0.88,-1.19,-2.31,1542.021773,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-7,0.49,0.89,-0.94,-1.82,1542.115086,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-8,0.38,0.88,-0.79,-1.69,1542.208398,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-9,0.36,0.85,-0.76,-1.96,1542.270607,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-10,0.33,0.85,-0.45,-5.28,1542.301711,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-11,0.66,0.85,-1.06,-2.42,1542.332815,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-12,0.27,0.85,-1.28,-2.57,1542.426128,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-13,0.39,0.87,-1.12,-2.72,1542.550544,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-14,0.45,0.87,-1.15,-1.55,1542.799378,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-15,0.04,0.86,-0.64,-3.51,1543.048212,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-16,0.52,0.85,-1.46,-3,1543.297045,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-17,0.33,0.85,-1.83,-2.4,1543.545879,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-18,0.44,0.77,-2.09,-3.98,1543.670295,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-19,0.48,0.88,-1.27,-2.14,1543.794712,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-20,0.73,0.89,-1.32,-2.55,1544.292379,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-21,0.45,0.88,-1.64,-2.99,1545.03888,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-22,0.12,0.88,-1.25,-3.78,1545.785381,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-23,0.66,0.89,-1.29,-5.18,1546.251944,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-24,0.08,0.89,-1.48,-4.67,1546.376361,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-25,0.76,0.88,-0.92,-4.05,1546.874028,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-26,0.5,0.67,-2.25,-3.19,1547.18507,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-27,0.03,0.89,-0.36,-0.19,1547.371695,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
21-YZ1-28,0,0.89,-0.19,-3.94,1547.900467,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
